item_nbr	dayOfWeek	unit_sales
96995	0	0.5
96995	1	0.8333333333333334
96995	2	0.5
96995	3	0.0
96995	4	1.0
96995	5	0.5
96995	6	0.5
99197	0	0.0
99197	1	1.0
99197	2	0.0
99197	3	0.0
99197	4	0.0
99197	5	0.0
99197	6	0.5
103501	0	0.8333333333333334
103501	1	1.0
103501	2	0.5277777777777778
103501	3	1.0
103501	4	0.7000000000000001
103501	5	1.0
103501	6	0.7222222222222222
103520	0	0.4342105263157895
103520	1	0.5052631578947369
103520	2	0.37894736842105264
103520	3	0.2894736842105263
103520	4	0.680161943319838
103520	5	1.0
103520	6	0.7894736842105263
103665	0	0.52
103665	1	0.6857142857142857
103665	2	1.0
103665	3	0.6571428571428571
103665	4	0.5555555555555556
103665	5	0.6
103665	6	1.0
105574	0	1.0
105574	1	0.573170731707317
105574	2	0.5396341463414634
105574	3	0.6585365853658537
105574	4	0.7421602787456446
105574	5	0.8341463414634147
105574	6	0.951219512195122
105575	0	0.46
105575	1	0.3457142857142857
105575	2	0.45
105575	3	0.3066666666666667
105575	4	0.3066666666666667
105575	5	0.39333333333333337
105575	6	1.0
105576	0	0.45215311004784686
105576	1	0.38468899521531097
105576	2	0.48229665071770333
105576	3	0.24401913875598086
105576	4	0.19138755980861244
105576	5	0.5126452494873547
105576	6	1.0
105577	0	0.4
105577	1	0.4222222222222222
105577	2	0.8666666666666667
105577	3	0.26666666666666666
105577	4	0.9866666666666667
105577	5	1.0
105577	6	0.5333333333333333
105693	0	0.5982905982905984
105693	1	0.6111111111111112
105693	2	0.6349206349206349
105693	3	0.6111111111111112
105693	4	1.0
105693	5	0.48148148148148145
105693	6	0.9135802469135802
105737	0	0.5878378378378378
105737	1	0.6138996138996139
105737	2	0.0
105737	3	0.5135135135135135
105737	4	0.39189189189189183
105737	5	0.0
105737	6	1.0
105857	0	1.0
105857	1	0.35006435006435005
105857	2	0.5765765765765766
105857	3	0.8216216216216217
105857	4	0.627027027027027
105857	5	0.6795366795366795
105857	6	0.4924924924924925
106716	0	0.8205128205128205
106716	1	0.6096866096866097
106716	2	0.6153846153846154
106716	3	0.6153846153846154
106716	4	0.808446455505279
106716	5	0.6214177978883861
106716	6	1.0
108079	0	0.7424242424242424
108079	1	0.5727272727272728
108079	2	0.7159090909090909
108079	3	1.0
108079	4	0.8352272727272727
108079	5	0.9834710743801652
108079	6	0.875
108634	0	1.0
108634	1	0.1
108634	2	0.5
108634	3	0.23333333333333334
108634	4	0.2
108634	5	0.6666666666666667
108634	6	0.4
108696	0	0.41297935103244837
108696	1	0.2654867256637168
108696	2	0.24582104228121926
108696	3	0.41297935103244837
108696	4	0.37364798426745327
108696	5	0.45353982300884954
108696	6	1.0
108698	0	0.5625
108698	1	0.796875
108698	2	0.47916666666666663
108698	3	0.4453125
108698	4	1.0
108698	5	0.609375
108698	6	0.7734375
108701	0	0.2708333333333333
108701	1	0.8333333333333334
108701	2	0.875
108701	3	0.9444444444444445
108701	4	0.38095238095238093
108701	5	0.4666666666666666
108701	6	1.0
108786	0	0.5886792452830188
108786	1	0.6457023060796645
108786	2	0.5870020964360587
108786	3	0.42048517520215634
108786	4	0.5141509433962265
108786	5	0.9114658925979681
108786	6	1.0
108797	0	0.1053763440860215
108797	1	0.15770609318996417
108797	2	0.1774193548387097
108797	3	1.0
108797	4	0.11143695014662756
108797	5	0.24301075268817204
108797	6	0.13709677419354838
108831	0	0.42492843372086236
108831	1	0.48901189850246346
108831	2	0.5347826721972309
108831	3	0.901670853537419
108831	4	0.5025062803061285
108831	5	1.0
108831	6	0.26025296488870714
108833	0	0.625
108833	1	1.0
108833	2	0.75
108833	3	0.45
108833	4	0.625
108833	5	0.6875
108833	6	0.875
108862	0	0.75
108862	1	0.5499999999999999
108862	2	0.75
108862	3	0.54
108862	4	1.0
108862	5	0.35000000000000003
108862	6	0.6428571428571428
108952	0	0.35522388059701493
108952	1	0.4559023066485753
108952	2	0.43880597014925377
108952	3	0.5223880597014926
108952	4	0.5014925373134328
108952	5	1.0
108952	6	0.5304247990815155
111223	0	0.8739495798319328
111223	1	0.4601113172541744
111223	2	0.629737609329446
111223	3	0.5139833711262283
111223	4	0.5986394557823129
111223	5	0.7995813710099424
111223	6	1.0
111397	0	1.0
111397	1	0.7042253521126761
111397	2	0.5633802816901409
111397	3	0.30181086519114686
111397	4	0.5070422535211268
111397	5	0.7020585048754063
111397	6	0.8511066398390341
112830	0	0.7170542635658915
112830	1	0.3488372093023256
112830	2	0.4418604651162791
112830	3	0.46511627906976744
112830	4	0.46511627906976744
112830	5	0.6201550387596899
112830	6	1.0
114778	0	0.6
114778	1	0.47000000000000003
114778	2	0.85
114778	3	0.1
114778	4	0.3
114778	5	0.225
114778	6	1.0
114790	0	0.29580745341614906
114790	1	0.3804347826086956
114790	2	0.4076086956521739
114790	3	0.34782608695652173
114790	4	0.2543478260869565
114790	5	0.508695652173913
114790	6	1.0
114799	0	0.9490644490644491
114799	1	0.5648648648648649
114799	2	0.5326576576576577
114799	3	0.5481418918918919
114799	4	0.327027027027027
114799	5	1.0
114799	6	0.5760135135135135
114800	0	0.40579710144927533
114800	1	0.3985507246376811
114800	2	0.4438405797101449
